City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,Lata,40.1629,-8.3327,44.04,66,0,5.17,PT,2022-02-08 05:05:58
235,Calhoun,42.2506,-85.0005,24.69,86,100,3.44,US,2022-02-08 05:05:58
236,Chuy,-33.6971,-53.4616,61.12,81,20,7.07,UY,2022-02-08 05:05:58
237,Graham,47.0529,-122.2943,46.2,88,100,9.22,US,2022-02-08 05:05:59
238,Ryzdvyanyy,45.2656,41.8389,34.5,70,100,10.96,RU,2022-02-08 05:05:59
239,Ust-Tsilma,65.441,52.1498,9.41,95,100,5.5,RU,2022-02-08 05:05:59
240,Ulaangom,49.9811,92.0667,-18.26,94,100,3.89,MN,2022-02-08 05:06:00
241,Roma,43.2128,-75.4557,26.64,92,0,0.0,US,2022-02-08 05:03:50
242,Saint-Denis,48.9167,2.3333,47.17,83,100,11.5,FR,2022-02-08 05:06:01
243,Hashtrud,37.4779,47.0508,12.18,97,96,0.87,IR,2022-02-08 05:06:02
244,Gushikawa,26.3544,127.8686,71.19,64,75,19.57,JP,2022-02-08 05:06:02
245,Huambo,-12.7761,15.7392,55.78,98,100,3.58,AO,2022-02-08 05:02:52
246,Mackay,-21.15,149.2,86.68,62,11,13.67,AU,2022-02-08 05:02:43
247,Aklavik,68.2191,-135.0107,-31.65,94,100,4.99,CA,2022-02-08 05:06:03
248,Vallenar,-28.5708,-70.7581,68.5,63,0,1.34,CL,2022-02-08 05:06:04
249,Chokurdakh,70.6333,147.9167,-43.85,100,95,4.83,RU,2022-02-08 05:06:04
250,Cap Malheureux,-19.9842,57.6142,82.89,76,99,15.82,MU,2022-02-08 05:06:04
251,Santa Maria Da Boa Vista,-8.8078,-39.8256,77.94,60,100,11.12,BR,2022-02-08 05:06:05
252,Ponta Do Sol,32.6667,-17.1,62.71,63,5,7.0,PT,2022-02-08 05:06:05
253,Beringovskiy,63.05,179.3167,-19.84,91,5,11.52,RU,2022-02-08 05:06:05
254,Inirida,3.8653,-67.9239,70.75,98,100,0.63,CO,2022-02-08 05:06:06
255,Jinji,23.2281,110.8261,49.98,86,100,8.57,CN,2022-02-08 05:06:06
256,Znamenskoye,57.1281,73.8282,7.21,91,6,7.14,RU,2022-02-08 05:06:07
257,Chaman,30.9236,66.4512,50.25,27,79,1.05,PK,2022-02-08 05:06:07
258,Noumea,-22.2763,166.4572,82.99,99,55,17.34,NC,2022-02-08 05:06:08
259,Foumban,5.7291,10.9001,61.39,32,87,3.02,CM,2022-02-08 05:06:08
260,Vung Tau,10.346,107.0843,83.55,68,74,17.29,VN,2022-02-08 05:06:08
261,College,64.8569,-147.8028,-1.88,70,75,5.75,US,2022-02-08 05:06:09
262,Teknaf,20.8624,92.3058,76.78,31,1,9.78,BD,2022-02-08 05:06:09
263,Hambantota,6.1241,81.1185,79.14,83,20,5.75,LK,2022-02-08 05:06:10
264,Xucheng,20.35,110.1288,67.86,88,100,16.96,CN,2022-02-08 05:06:10
265,Zyryanka,65.75,150.85,-32.87,97,60,2.04,RU,2022-02-08 05:06:10
266,Sulphur,30.2366,-93.3774,44.58,71,0,5.75,US,2022-02-08 05:06:11
267,Saskylakh,71.9167,114.0833,-7.78,88,98,10.29,RU,2022-02-08 05:06:11
268,Goiatuba,-18.0125,-49.3547,66.54,99,100,4.14,BR,2022-02-08 05:02:15
269,Manoel Urbano,-8.8389,-69.2597,71.76,99,100,2.51,BR,2022-02-08 05:06:11
270,Pevek,69.7008,170.3133,-28.35,98,27,2.28,RU,2022-02-08 05:06:12
271,Longyearbyen,78.2186,15.6401,21.04,79,75,19.57,SJ,2022-02-08 05:01:24
272,Lompoc,34.6391,-120.4579,64.13,78,1,4.0,US,2022-02-08 05:01:36
273,Narsaq,60.9167,-46.05,-7.98,73,83,11.81,GL,2022-02-08 05:06:13
274,Enthavi,19.4908,-99.5758,47.39,71,75,4.61,MX,2022-02-08 05:06:14
275,Mount Isa,-20.7333,139.5,91.17,43,75,8.05,AU,2022-02-08 05:03:00
276,Yinchuan,38.4681,106.2731,26.69,48,38,2.57,CN,2022-02-08 05:06:14
277,Presidente Epitacio,-21.7633,-52.1156,65.57,65,1,5.84,BR,2022-02-08 05:06:14
278,Loningen,52.7333,7.7667,46.92,95,100,16.89,DE,2022-02-08 05:05:27
279,Iqaluit,63.7506,-68.5145,-5.31,63,100,8.99,CA,2022-02-08 05:06:15
280,Kodinsk,58.6881,99.1844,-1.48,87,99,7.09,RU,2022-02-08 05:06:15
281,San Patricio,28.017,-97.5169,54.84,59,17,6.51,US,2022-02-08 05:06:16
282,Teya,60.3778,92.6267,-3.98,89,88,3.83,RU,2022-02-08 05:06:16
283,Whitianga,-36.8333,175.7,70.32,97,100,9.13,NZ,2022-02-08 05:06:17
284,Kabare,-2.4683,28.8242,61.7,94,85,1.1,CD,2022-02-08 05:06:17
285,Le Port,-20.9373,55.2919,82.4,79,99,7.29,RE,2022-02-08 05:06:17
286,Gap,44.6667,6.0,17.83,70,33,4.81,FR,2022-02-08 05:06:18
